date,warehouse_id,product_id,sales,inventory_level,lead_time,promotion,holiday
2023-01-01,WH1,P1,49,453,6,0,0
2023-01-01,WH1,P2,52,527,3,0,0
2023-01-01,WH1,P3,51,441,4,0,0
2023-01-01,WH1,P4,53,361,5,0,0
2023-01-01,WH1,P5,42,464,5,0,0
2023-01-01,WH2,P1,68,403,4,1,0
2023-01-01,WH2,P2,51,537,5,0,0
2023-01-01,WH2,P3,44,376,4,0,0
2023-01-01,WH2,P4,44,458,4,0,0
2023-01-01,WH2,P5,19,502,4,0,0
2023-01-01,WH3,P1,58,416,6,1,0
2023-01-01,WH3,P2,40,447,6,0,0
2023-01-01,WH3,P3,46,470,6,0,0
2023-01-01,WH3,P4,60,439,5,0,0
2023-01-01,WH3,P5,47,456,6,0,1
2023-01-01,WH4,P1,38,513,5,0,0
2023-01-01,WH4,P2,26,504,3,0,0
2023-01-01,WH4,P3,33,516,5,0,0
2023-01-01,WH4,P4,44,408,5,0,0
2023-01-01,WH4,P5,33,368,5,0,1
2023-01-02,WH1,P1,17,436,6,0,0
2023-01-02,WH1,P2,33,494,3,0,0
2023-01-02,WH1,P3,40,401,5,0,0
2023-01-02,WH1,P4,25,336,5,0,0
2023-01-02,WH1,P5,40,424,3,0,0
2023-01-02,WH2,P1,28,375,6,0,0
2023-01-02,WH2,P2,47,490,4,0,0
2023-01-02,WH2,P3,16,360,3,0,0
2023-01-02,WH2,P4,39,419,4,0,0
2023-01-02,WH2,P5,19,483,6,0,0
2023-01-02,WH3,P1,25,391,4,0,0
2023-01-02,WH3,P2,41,406,5,0,0
2023-01-02,WH3,P3,20,450,5,0,0
2023-01-02,WH3,P4,25,414,4,0,0
2023-01-02,WH3,P5,29,427,5,0,0
2023-01-02,WH4,P1,34,479,4,0,0
2023-01-02,WH4,P2,60,444,6,0,1
2023-01-02,WH4,P3,18,498,6,0,0
2023-01-02,WH4,P4,50,358,5,0,0
2023-01-02,WH4,P5,34,334,3,0,0
2023-01-03,WH1,P1,21,415,3,0,0
2023-01-03,WH1,P2,47,447,4,0,0
2023-01-03,WH1,P3,22,379,3,0,0
2023-01-03,WH1,P4,33,303,3,1,0
2023-01-03,WH1,P5,27,397,6,0,0
2023-01-03,WH2,P1,17,358,3,0,0
2023-01-03,WH2,P2,45,445,4,0,0
2023-01-03,WH2,P3,26,334,3,0,0
2023-01-03,WH2,P4,36,383,3,0,0
2023-01-03,WH2,P5,24,459,4,0,0
2023-01-03,WH3,P1,43,348,6,0,0
2023-01-03,WH3,P2,23,383,4,0,0
2023-01-03,WH3,P3,41,409,6,0,0
2023-01-03,WH3,P4,47,367,3,0,0
2023-01-03,WH3,P5,46,381,6,0,0
2023-01-03,WH4,P1,15,464,6,0,0
2023-01-03,WH4,P2,48,396,3,0,0
2023-01-03,WH4,P3,45,453,5,0,0
2023-01-03,WH4,P4,29,329,3,1,0
2023-01-03,WH4,P5,19,315,5,0,0
2023-01-04,WH1,P1,41,374,4,0,0
2023-01-04,WH1,P2,38,409,4,0,0
2023-01-04,WH1,P3,41,338,3,0,0
2023-01-04,WH1,P4,34,269,3,0,0
2023-01-04,WH1,P5,70,327,3,1,0
2023-01-04,WH2,P1,27,331,6,0,0
2023-01-04,WH2,P2,38,407,4,0,0
2023-01-04,WH2,P3,34,300,3,0,0
2023-01-04,WH2,P4,37,346,3,0,0
2023-01-04,WH2,P5,25,434,3,0,0
2023-01-04,WH3,P1,35,313,5,0,0
2023-01-04,WH3,P2,42,341,6,0,1
2023-01-04,WH3,P3,27,382,5,0,0
2023-01-04,WH3,P4,38,329,5,0,0
2023-01-04,WH3,P5,27,354,6,0,0
2023-01-04,WH4,P1,52,412,3,0,0
2023-01-04,WH4,P2,36,360,3,0,0
2023-01-04,WH4,P3,49,404,5,0,0
2023-01-04,WH4,P4,26,303,6,0,0
2023-01-04,WH4,P5,22,293,4,0,0
2023-01-05,WH1,P1,43,331,6,1,0
2023-01-05,WH1,P2,27,382,6,0,0
2023-01-05,WH1,P3,67,271,6,1,0
2023-01-05,WH1,P4,39,230,3,0,0
2023-01-05,WH1,P5,40,287,5,0,0
2023-01-05,WH2,P1,35,296,4,0,0
2023-01-05,WH2,P2,25,382,3,0,0
2023-01-05,WH2,P3,39,261,5,0,0
2023-01-05,WH2,P4,30,316,6,0,0
2023-01-05,WH2,P5,22,412,6,0,0
2023-01-05,WH3,P1,35,278,6,0,0
2023-01-05,WH3,P2,39,302,5,0,0
2023-01-05,WH3,P3,53,329,5,0,0
2023-01-05,WH3,P4,31,298,6,0,0
2023-01-05,WH3,P5,36,318,5,0,0
2023-01-05,WH4,P1,38,374,3,0,0
2023-01-05,WH4,P2,28,332,5,0,0
2023-01-05,WH4,P3,38,366,4,0,0
2023-01-05,WH4,P4,48,255,5,0,0
2023-01-05,WH4,P5,29,264,4,0,0
2023-01-06,WH1,P1,45,286,4,0,0
2023-01-06,WH1,P2,25,357,3,0,0
2023-01-06,WH1,P3,56,215,6,0,1
2023-01-06,WH1,P4,64,166,6,1,1
2023-01-06,WH1,P5,24,263,5,0,0
2023-01-06,WH2,P1,49,247,5,1,0
2023-01-06,WH2,P2,33,349,3,0,0
2023-01-06,WH2,P3,18,243,5,0,0
2023-01-06,WH2,P4,47,269,3,0,0
2023-01-06,WH2,P5,23,389,4,0,0
2023-01-06,WH3,P1,42,236,4,0,0
2023-01-06,WH3,P2,29,273,6,1,0
2023-01-06,WH3,P3,52,277,6,1,0
2023-01-06,WH3,P4,41,257,4,0,0
2023-01-06,WH3,P5,48,270,3,0,0
2023-01-06,WH4,P1,47,327,3,0,0
2023-01-06,WH4,P2,42,290,6,1,0
2023-01-06,WH4,P3,56,310,5,0,0
2023-01-06,WH4,P4,36,219,4,0,0
2023-01-06,WH4,P5,51,213,4,0,0
2023-01-07,WH1,P1,33,253,3,0,0
2023-01-07,WH1,P2,72,285,3,1,0
2023-01-07,WH1,P3,48,167,4,0,0
2023-01-07,WH1,P4,26,140,6,0,0
2023-01-07,WH1,P5,37,226,4,0,0
2023-01-07,WH2,P1,36,211,4,0,0
2023-01-07,WH2,P2,48,301,3,0,0
2023-01-07,WH2,P3,45,198,5,0,0
2023-01-07,WH2,P4,45,224,5,0,1
2023-01-07,WH2,P5,60,329,3,0,0
2023-01-07,WH3,P1,30,206,3,0,0
2023-01-07,WH3,P2,21,252,3,0,0
2023-01-07,WH3,P3,35,242,4,0,0
2023-01-07,WH3,P4,36,221,5,0,0
2023-01-07,WH3,P5,38,232,6,0,0
2023-01-07,WH4,P1,38,289,3,0,0
2023-01-07,WH4,P2,26,264,5,0,0
2023-01-07,WH4,P3,47,263,4,0,0
2023-01-07,WH4,P4,49,170,4,0,0
2023-01-07,WH4,P5,27,186,5,0,0
2023-01-08,WH1,P1,34,219,5,0,0
2023-01-08,WH1,P2,49,236,3,0,0
2023-01-08,WH1,P3,30,137,4,0,0
2023-01-08,WH1,P4,34,106,6,0,0
2023-01-08,WH1,P5,28,198,5,0,0
2023-01-08,WH2,P1,46,165,3,0,0
2023-01-08,WH2,P2,41,260,3,0,0
2023-01-08,WH2,P3,52,146,5,0,0
2023-01-08,WH2,P4,50,174,6,0,0
2023-01-08,WH2,P5,38,291,5,0,0
2023-01-08,WH3,P1,25,181,5,0,0
2023-01-08,WH3,P2,41,211,4,0,0
2023-01-08,WH3,P3,27,215,3,0,0
2023-01-08,WH3,P4,48,173,6,0,0
2023-01-08,WH3,P5,30,202,5,0,0
2023-01-08,WH4,P1,45,244,4,1,0
2023-01-08,WH4,P2,38,226,3,0,0
2023-01-08,WH4,P3,47,216,6,0,0
2023-01-08,WH4,P4,52,118,4,0,0
2023-01-08,WH4,P5,31,155,6,0,0
2023-01-09,WH1,P1,28,191,5,0,0
2023-01-09,WH1,P2,41,195,4,1,0
2023-01-09,WH1,P3,41,433,6,0,0
2023-01-09,WH1,P4,47,420,3,0,0
2023-01-09,WH1,P5,71,127,6,1,0
2023-01-09,WH2,P1,22,143,4,0,0
2023-01-09,WH2,P2,44,216,4,0,0
2023-01-09,WH2,P3,24,122,5,0,0
2023-01-09,WH2,P4,31,143,6,0,0
2023-01-09,WH2,P5,30,261,5,0,0
2023-01-09,WH3,P1,41,140,3,0,0
2023-01-09,WH3,P2,34,177,6,0,0
2023-01-09,WH3,P3,27,188,6,0,0
2023-01-09,WH3,P4,31,142,3,0,0
2023-01-09,WH3,P5,18,184,3,0,0
2023-01-09,WH4,P1,49,195,4,0,0
2023-01-09,WH4,P2,21,205,4,0,0
2023-01-09,WH4,P3,35,181,6,0,0
2023-01-09,WH4,P4,37,553,6,0,0
